Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Pride & Prejudice	drama, romance	2005	Joe Wright	7.7	127	http://www.imdb.com/title/tt0414387/
The Words	drama, mystery, romance	2012	Brian Klugman, Lee Sternthal	6.9	102	http://www.imdb.com/title/tt1840417/
Gattaca	drama, romance, sci_fi, thriller	1997	Andrew Niccol	7.8	106	http://www.imdb.com/title/tt0119177/
The Girl Next Door	comedy, drama, romance	2004	Luke Greenfield	6.7	108	http://www.imdb.com/title/tt0265208/
What to Expect When You're Expecting	comedy, drama, romance	2012	Kirk Jones	5.5	110	http://www.imdb.com/title/tt1586265/
The Sessions	comedy, drama, romance	2012	Ben Lewin	7.2	95	http://www.imdb.com/title/tt1866249/
The Twilight Saga: Breaking Dawn - Part 1	adventure, drama, fantasy, romance	2011	Bill Condon	4.8	117	http://www.imdb.com/title/tt1324999/
The First Time	comedy, drama, romance	2012	Jonathan Kasdan	6.9		http://www.imdb.com/title/tt1763303/
Upside Down	drama, fantasy, romance, sci_fi	2012	Juan Diego Solanas	6.3	100	http://www.imdb.com/title/tt1374992/
Life as We Know It	comedy, drama, romance	2010	Greg Berlanti	6.4	114	http://www.imdb.com/title/tt1055292/
Forgetting Sarah Marshall	comedy, drama, romance	2008	Nicholas Stoller	7.2	111	http://www.imdb.com/title/tt0800039/
Step Up Revolution	drama, music, romance	2012	Scott Speer	6.2	99	http://www.imdb.com/title/tt1800741/
Remember Me	drama, romance	2010	Allen Coulter	7.1	113	http://www.imdb.com/title/tt1403981/
Seeking a Friend for the End of the World	drama, romance, sci_fi	2012	Lorene Scafaria	6.7	101	http://www.imdb.com/title/tt1307068/
10 Things I Hate About You	comedy, drama, romance	1999	Gil Junger	7	97	http://www.imdb.com/title/tt0147800/
Slumdog Millionaire	drama, romance, thriller	2008	Danny Boyle, Loveleen Tandan	8.1	120	http://www.imdb.com/title/tt1010048/
Dirty Dancing	drama, music, romance	1987	Emile Ardolino	6.6	100	http://www.imdb.com/title/tt0092890/
Up in the Air	drama, romance	2009	Jason Reitman	7.5	109	http://www.imdb.com/title/tt1193138/
Romeo + Juliet	drama, romance	1996	Baz Luhrmann	6.8	120	http://www.imdb.com/title/tt0117509/
Friends with Kids	comedy, drama, romance	2011	Jennifer Westfeldt	6.1	107	http://www.imdb.com/title/tt1720616/
Rust and Bone	drama, romance	2012	Jacques Audiard	7.5	120	http://www.imdb.com/title/tt2053425/
Definitely, Maybe	comedy, drama, romance	2008	Adam Brooks	7.1	112	http://www.imdb.com/title/tt0832266/
The Twilight Saga: New Moon	adventure, drama, fantasy, romance	2009	Chris Weitz	4.5	130	http://www.imdb.com/title/tt1259571/
P.S. I Love You	drama, romance	2007	Richard LaGravenese	6.9	126	http://www.imdb.com/title/tt0431308/
Love & Other Drugs	comedy, drama, romance	2010	Edward Zwick	6.6	112	http://www.imdb.com/title/tt0758752/
Romeo and Juliet	drama, romance	2013	Carlo Carlei			http://www.imdb.com/title/tt1645131/
The Devil Wears Prada	comedy, drama, romance	2006	David Frankel	6.7	109	http://www.imdb.com/title/tt0458352/
Amour	drama, romance	2012	Michael Haneke	7.9	127	http://www.imdb.com/title/tt1602620/
Atonement	drama, mystery, romance, war	2007	Joe Wright	7.8	123	http://www.imdb.com/title/tt0783233/
The Curious Case of Benjamin Button	drama, fantasy, romance	2008	David Fincher	7.8	166	http://www.imdb.com/title/tt0421715/
Top Gun	action, drama, romance	1986	Tony Scott	6.7	110	http://www.imdb.com/title/tt0092099/
Beautiful Creatures	drama, fantasy, romance	2013	Richard LaGravenese	6.1	124	http://www.imdb.com/title/tt1559547/
Platoon	action, drama, war	1986	Oliver Stone	8.2	120	http://www.imdb.com/title/tt0091763/
The Untouchables	crime, drama, history, thriller	1987	Brian De Palma	8	119	http://www.imdb.com/title/tt0094226/
Dead Poets Society	drama	1989	Peter Weir	7.9	128	http://www.imdb.com/title/tt0097165/
The Sandlot	comedy, drama, family, sport	1993	David Mickey Evans	7.6	101	http://www.imdb.com/title/tt0108037/
Fargo	crime, drama	1996	Joel Coen	8.2	98	http://www.imdb.com/title/tt0116282/
Stepmom	comedy, drama	1998	Chris Columbus	6.3	124	http://www.imdb.com/title/tt0120686/
