Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Soldier	action, drama, sci_fi	1998	Paul Anderson	5.8	99	http://www.imdb.com/title/tt0120157/
Baby Geniuses	comedy, crime, family, sci_fi	1999	Bob Clark	2.3	97	http://www.imdb.com/title/tt0118665/
Bicentennial Man	drama, fantasy, romance, sci_fi	1999	Chris Columbus	6.5	132	http://www.imdb.com/title/tt0182789/
Blast from the Past	comedy, drama, romance, sci_fi	1999	Hugh Wilson	6.4	112	http://www.imdb.com/title/tt0124298/
Inspector Gadget	action, adventure, comedy, family, sci_fi	1999	David Kellogg	3.9	78	http://www.imdb.com/title/tt0141369/
Lake Placid	action, comedy, horror, sci_fi, thriller	1999	Steve Miner	5.5	82	http://www.imdb.com/title/tt0139414/
Muppets from Space	family, comedy, sci_fi, adventure	1999	Tim Hill	6.1	87	http://www.imdb.com/title/tt0158811/
My Favorite Martian	comedy, family, sci_fi	1999	Donald Petrie	4.7	94	http://www.imdb.com/title/tt0120764/
Mystery Men	action, comedy, fantasy, sci_fi	1999	Kinka Usher	5.9	121	http://www.imdb.com/title/tt0132347/
Pokémon: The First Movie - Mewtwo Strikes Back	animation, action, adventure, family, sci_fi	1998	Kunihiko Yuyama, Michael Haigney	5	75	http://www.imdb.com/title/tt0190641/
The Thirteenth Floor	mystery, sci_fi, thriller	1999	Josef Rusnak	6.8	100	http://www.imdb.com/title/tt0139809/
Virus	action, horror, thriller, sci_fi	1999	John Bruno	4.6	99	http://www.imdb.com/title/tt0120458/
Wild Wild West	action, western, comedy, sci_fi	1999	Barry Sonnenfeld	4.6	106	http://www.imdb.com/title/tt0120891/
Wing Commander	action, adventure, sci_fi	1999	Chris Roberts	3.8	100	http://www.imdb.com/title/tt0131646/
Mission to Mars	adventure, drama, sci_fi, thriller	2000	Brian De Palma	5.4	114	http://www.imdb.com/title/tt0183523/
Nutty Professor II: The Klumps	comedy, romance, sci_fi	2000	Peter Segal	4.2	106	http://www.imdb.com/title/tt0144528/
Titan A.E.	animation, action, adventure, family, sci_fi	2000	Don Bluth, Gary Goldman	6.5	94	http://www.imdb.com/title/tt0120913/
Evolution	comedy, sci_fi	2001	Ivan Reitman	5.9	101	http://www.imdb.com/title/tt0251075/
Final Fantasy: The Spirits Within	animation, action, adventure, fantasy, sci_fi, thriller	2001	Hironobu Sakaguchi, Motonori Sakakibara	6.4	106	http://www.imdb.com/title/tt0173840/
