Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
A Shot at Glory	2000	Michael Corrente	6.1	114	http://www.imdb.com/title/tt0193854/
Johnny Tsunami	1999	Steve Boyum	6.2		http://www.imdb.com/title/tt0206064/
Bloodsport 2	1996	Alan Mehrez	4.4	90	http://www.imdb.com/title/tt0112536/
Side Out	1990	Peter Israelson	4.9	100	http://www.imdb.com/title/tt0100613/
Fat City	1972	John Huston	7.4	100	http://www.imdb.com/title/tt0068575/
My Giant	1998	Michael Lehmann	4.7	103	http://www.imdb.com/title/tt0120765/
Air Bud: Golden Receiver	1998	Richard Martin	4.1	90	http://www.imdb.com/title/tt0140796/
MVP: Most Valuable Primate	2000	Robert Vince	3.1	93	http://www.imdb.com/title/tt0196106/
Going Greek	2001	Justin Zackham	4.7	90	http://www.imdb.com/title/tt0263386/
Double Teamed	2002	Duwayne Dunham	5.9	120	http://www.imdb.com/title/tt0281905/
Swimming Upstream	2003	Russell Mulcahy	7	114	http://www.imdb.com/title/tt0326664/
Triumph of the Spirit	1989	Robert M. Young	6.8	120	http://www.imdb.com/title/tt0098513/
The Bad News Bears Go to Japan	1978	John Berry	3.2	91	http://www.imdb.com/title/tt0077199/
The Main Event	1979	Howard Zieff	5.4	112	http://www.imdb.com/title/tt0079510/
North Dallas Forty	1979	Ted Kotcheff	6.9	119	http://www.imdb.com/title/tt0079640/
American Anthem	1986	Albert Magnoli	2.9	102	http://www.imdb.com/title/tt0090631/
Wind	1992	Carroll Ballard	6	126	http://www.imdb.com/title/tt0105824/
Switching Goals	1999	David Steinberg	4.6	85	http://www.imdb.com/title/tt0217074/
